Days,Values
2017-09-26,46.627998
2017-09-27,44.73
2017-09-28,44.299999
2017-09-29,44.380001
2017-10-02,44.494999
2017-10-03,44.145
2017-10-04,44.490002
2017-10-05,44.779999
2017-10-06,44.16
2017-10-09,44.310001
2017-10-10,44.509998
2017-10-11,44.259998
